"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"15.03.2024","3.877,50","3.893,00","3.895,00","3.875,54","","-0,33%"
"14.03.2024","3.890,26","3.901,25","3.914,52","3.886,50","","-0,28%"
"13.03.2024","3.901,12","3.919,55","3.923,60","3.900,10","","-0,43%"
"12.03.2024","3.918,08","3.914,44","3.926,89","3.912,78","","0,11%"
"11.03.2024","3.913,94","3.903,61","3.918,00","3.894,63","","0,36%"
"08.03.2024","3.899,79","3.915,51","3.915,90","3.898,53","","-0,34%"
"07.03.2024","3.913,25","3.921,36","3.929,98","3.910,88","","-0,16%"
"06.03.2024","3.919,50","3.938,59","3.941,75","3.916,27","","-0,52%"
"05.03.2024","3.940,06","3.941,95","3.953,90","3.936,65","","-0,05%"
"04.03.2024","3.942,21","3.942,30","3.964,35","3.939,32","","0,06%"
"01.03.2024","3.939,80","3.925,76","3.953,00","3.918,20","","0,49%"
"29.02.2024","3.920,51","3.924,94","3.942,33","3.918,93","","-0,06%"
"28.02.2024","3.923,00","3.932,42","3.941,49","3.922,25","","-0,11%"
"27.02.2024","3.927,50","3.958,92","3.958,93","3.929,15","","-0,70%"
"26.02.2024","3.955,20","3.963,64","3.970,69","3.951,98","","-0,23%"
"23.02.2024","3.964,38","3.928,63","3.969,90","3.922,78","","0,87%"
"22.02.2024","3.930,26","3.925,20","3.941,32","3.920,97","","0,32%"
"21.02.2024","3.917,72","3.923,27","3.936,19","3.920,22","","-0,15%"
"20.02.2024","3.923,77","3.921,60","3.928,43","3.905,74","","0,21%"
"19.02.2024","3.915,60","3.909,00","3.918,10","3.905,10","","0,30%"
"16.02.2024","3.904,07","3.909,42","3.930,83","3.905,21","","-0,07%"
"15.02.2024","3.906,93","3.915,93","3.924,24","3.904,09","","-0,27%"